"","CLIC1","NHERF1","LDHA","ANXA1","GAPDH","HSPB1","EIF2S1","RPLP0","PTMA","ENO1","DBI","HSP90AA1","HSP90AB1","HMGB1","HSPA1A","TXN","HSPA8","TPT1","PKM","LGALS3","HNRNPA2B1","RPS3","CFL1","YWHAQ","TKT","PRDX6","CMPK1","ALDH3A1","HNRNPH1","YWHAB","PRDX2","PFN2","TALDO1","MDH1","PSMC4","RPS9","RPS5","HINT1","CRIP1","SUB1","EIF4A1","DSTN","ARF3","YWHAG","RPS7","RPS8","YWHAE","RPS14","RAN","FAU","PPIA","YWHAZ","RPL38","EIF5A","RACK1","YBX1","GSTO1","BASP1","YWHAH","PSME1","PRDX1","HNRNPA0","PRDX4","TUBB3","DDX39B","COTL1","PAFAH1B3","UGP2","CROCC","ABHD14B","NIBAN2","HNRNPAB","PTMS","train"
"A101Reporter.intensity.22",-0.74205465953175,-0.634064002048735,0.236661913779489,-0.127150125844684,1.22529786452967,-1.31666242210488,1.09211858385221,-0.0442167078980655,0.31867123863981,0.173880178243117,-0.83126560939552,-0.206632408717312,0.282888855496969,0.750432889088143,-0.520719903118246,1.24181332764741,0.540532899016438,0.367557707529997,-0.238541214083294,0.0546896792941839,-0.339766652339682,-0.0763240440119743,-0.442618996382781,-0.0534568333179559,-0.0553034219239084,-2.06872356724612,-0.438008796769732,1.11045544444633,0.26759300589084,0.0051929281240189,0.323672829062045,1.32096686337078,-0.145256354711178,-0.449618962925695,NA,-0.142190742160394,0.647696019310544,0.424738499601018,2.55554178416123,-0.0223172173986832,0.89347664064724,0.559148247773088,-0.227803164731313,-0.489267885173877,NA,-0.114102958963664,0.259315444407549,-0.286206818302871,0.425753980915516,-0.853820578000775,-1.13799843360343,0.0681501318726803,NA,NA,0.02258760808649,NA,-0.265789411826063,0.473765487989081,-0.0924749624229805,1.08451756831859,0.218089133044262,-0.650533821241536,-0.206099653387954,NA,0.484747479666067,0.525750829371509,-0.352734614961343,NA,-1.8435216794664,-0.045971281853883,-0.690359514085883,-0.215733807848897,2.25508381166711,0
"A101Reporter.intensity.23",-1.028812194437,0.699915258828517,-0.741785557293357,-0.329239084842868,0.70527258068415,-0.708910562522984,-0.0339970269859577,-0.0861484661156321,-1.58938252149007,-0.383608048634611,-0.101228533330631,0.306185224525548,0.18777990657076,0.417315234552448,-0.453473572456678,-1.37935234913965,-0.37572486519281,-1.52488290622839,-0.639216672399947,-0.239996161217093,0.758628650326753,1.1801535644082,-1.57727546627082,-0.15478003284884,-0.395387576592803,-2.37109662180907,-1.14725364184886,-0.438231096373301,0.0791393224722667,-0.0594253548949662,-0.82494964095026,-0.145184186061221,-0.34139606365058,-0.821403903557117,NA,2.03841839446215,0.350924035452662,-0.652032420196339,-2.57514629253247,0.649654580011635,0.253771449299893,-0.62928123992238,0.0411082307712791,-0.79895536313629,NA,0.554080002797974,-0.00495985534149718,1.0070269093416,-0.268404797106704,0.0146345558163301,-0.422837328864427,-1.37115142602839,NA,NA,-1.02760163438618,NA,-1.86698559010596,-0.126293432649569,0.434704557492639,0.0568961426012933,-1.3553615492329,0.308242663692429,-1.1168110803449,NA,0.122195728742152,-2.34898907875604,-1.52499428810182,NA,-0.592158208057913,-1.47885659622349,-0.837644959537243,0.695899749348419,1.07916094150966,1
"A101Reporter.intensity.24",1.57503677325529,2.08280771059627,1.73072912016532,0.130481777097508,0.014690713686487,1.57950417168104,-0.290028237009184,1.08134464986286,2.14707334310823,0.589471499167842,0.577524910645814,0.188167691271619,1.04378452356844,-0.818883873651511,0.49472216718756,2.82645835843729,0.938597565757136,1.92729370889706,1.57349098105111,1.2065953185754,1.35890582341987,0.661159547958309,0.088097685545647,0.80670614426776,1.45471344368657,3.64794532368394,0.668517756553876,0.0945341187490897,0.31998891462677,0.0374384802411942,0.382940008201851,0.679758325950032,1.06847357557335,1.21086238476381,NA,0.338207209418546,0.13599869809133,0.983617423109532,2.49821304555708,-0.111719104125233,2.3731776144302,1.68018705551904,2.0069477595079,0.0865488206886754,-0.0643824277399208,1.15778287640392,0.754531213399345,-0.531594515605413,0.126842811570393,0.851983581372791,0.44392427662126,1.15367417078996,NA,NA,0.334057042054,NA,6.38998237814889,2.60920112237849,0.743453437406732,0.515328277131513,2.42720145221232,0.576485236437428,1.55801376922053,NA,0.26224464372135,1.58869320215117,1.56487717853351,NA,3.47248050684761,2.03209148834594,4.51127000216067,0.0445144222361186,0.669054267259501,1
"A101Reporter.intensity.25",0.477553290161152,3.02280321774003,0.352463869772238,-0.083738823696898,-0.566424500709834,-0.378699284318362,-0.269158267762694,0.253182395526028,-0.201767689322187,0.587708115388963,-2.46627561207627,-0.808757987723113,-0.369161425318366,0.934233362521645,-0.339991898568278,-0.663641306309393,-1.32227829044112,-0.130829871272382,-0.447497329445859,0.297088095491654,0.93180109763492,-0.057700964940862,1.6272061949784,-0.789993039369705,-0.448485711141181,-1.34833734768199,0.0621130304668879,-0.101302522586933,-0.428800723047041,-0.91645129480134,-0.115348426221221,-0.403170509758834,0.869856594381185,1.75194596079182,NA,-0.294514651129197,-0.4883325997902,-0.177704589427517,-1.17917774109642,-0.735902413792939,0.0699610078724175,-1.63586696644706,-0.518940018343104,-0.823715388923255,0.497064130553819,-0.58518133188339,-0.252384125545151,0.638957519633564,0.412563183144542,0.914374210219376,-0.358681177834527,0.118634436591579,NA,NA,-0.234395695965262,NA,-1.39011751019516,-0.771474953519717,-1.44797176786913,-0.194807391087328,-0.937525466045786,1.33209157122979,-1.21447246069274,NA,-0.0313587483723967,0.449679712466858,-0.397418863381379,NA,-1.08753685400112,-0.29054290357644,-0.737474675943449,-0.477826552660737,-3.35276774837635,1
"A101Reporter.intensity.26",-0.239065013273532,-0.202896048143081,-0.00885323995384814,-0.32713349890331,0.641417569161958,-1.07259097913349,0.168083034220095,-0.994989339631693,0.938412343918484,0.0356251309570657,0.520029807781535,-0.188444915424806,0.0157826777386725,-0.218307990580783,-0.456219779026367,0.405583925194092,-0.45055279856188,0.442188910277657,0.0967430934741181,0.0341778373643457,0.367648787363639,-0.434035101207374,2.13060073205279,-0.49759017803185,0.722934178113202,-1.08344823661145,0.445813561085565,-0.672564107982751,0.247343271680718,-0.902105506935835,0.0437723794068387,NA,0.602636668228654,-0.204924274340495,NA,-0.104077827395203,-0.115563811482339,-0.489050590241366,7.0895501179524,0.405094945073882,-0.761325134049638,0.541885714301556,0.675590946714271,-0.0441997439086509,NA,-0.467373416726793,-0.679726809902262,-1.48397526572732,0.481308073454791,-1.28448255431781,0.39215713402524,-0.182909399518923,NA,NA,-0.156799454220282,NA,-2.09682790258442,-0.479281823690051,0.663316599290497,0.020066316641758,-0.876387146790827,0.405635706916166,-0.617142036152654,NA,1.08421530543166,1.8991276560387,0.298499952201844,NA,-2.86467247357107,-0.405047414729948,-1.36984675612575,-0.276504201939195,2.29888977715951,0
"A101Reporter.intensity.27",1.58910994234416,2.71119067810394,-0.192115285196943,-0.123036978721216,0.433538558269453,-0.0533904746883477,-0.564763814108181,0.251311551780965,1.39087624354069,-0.260782787929425,-0.0681074327129509,5.46395035924413,3.19246742710088,-1.571721484375,-0.500669413291855,1.70425155500609,2.65438762037876,1.0841892147838,0.258083882003125,0.53491044835647,0.554450961907319,-1.04707546584041,0.220174021146834,0.611478418720419,0.69082158804046,3.72580623826615,0.408389321224151,-1.24579840661067,-0.014416893137693,-0.285593900372685,1.6829730190547,2.52081630212122,-0.539311140383374,1.93776433450017,NA,-0.620521931961942,-0.400677907502409,1.92549359567049,2.26015287095785,-0.429116709798211,1.95854213972193,2.24096168819729,2.62765551385205,-0.863732218260287,1.34070234034849,-0.114100035578535,0.459282849426435,-1.5892066892609,0.72671141890344,0.0219242170780067,1.48440443250648,1.31070431333045,NA,NA,-0.361756185388437,NA,1.71275548426062,5.89689364552406,0.742434559635683,0.0543719548838386,3.45167881681281,2.60776513157477,2.33794999725903,NA,1.25316661358106,-1.74708690126563,1.88118335912286,NA,7.72136263803499,0.893996613379779,0.151326203149566,0.877212966751043,-0.0828268666230155,0
"A101Reporter.intensity.28",-0.426134677796317,-1.35824811679296,-0.65390666126586,0.0322178751141662,-1.79567979380693,-1.20646284987712,-0.632424302110325,-0.512423141520806,-0.353451289307003,-0.453758138260201,-0.682578645801721,-1.45558952286486,-1.97920770066402,-0.0164348114800883,-0.789191502645576,0.668898765143199,-0.807558192449401,-1.15757644198099,0.591214684469746,-0.75472623647941,-0.530995710101713,0.37706231642555,-0.218754755499644,0.329559962626918,-2.26119079581057,-3.18304607217282,0.0769602632800426,-1.43051924665071,1.06745138334131,-0.548335428717282,-0.670785607262771,-0.887983455079302,-0.585654317246772,-3.22527052027856,NA,0.332734992097341,0.696530527288148,-1.54203994244039,-1.96031802061132,-0.517086932074472,-1.50705999291829,-1.71790979930317,-1.33204659460636,0.805803731398592,NA,-0.164698178112501,-1.04726044648887,1.67279001227866,-0.00567019853256778,-0.625067081330395,-0.795875153724127,-1.035159736117,NA,NA,-0.596075563400212,NA,-0.873608953061487,-2.78856846117353,-2.5035159876583,-0.877609877507966,0.404916527430176,0.0785527847512958,-1.74254406068677,NA,0.319283187913768,-0.411877928295995,-0.913108404652274,NA,-2.79557592635259,-2.6394319176294,0.610100554292496,0.662192413421646,-2.77950352428898,1
"A101Reporter.intensity.30",1.1492627935878,0.00967345681786849,1.69955567872456,2.66870390218557,0.304127688181648,1.28723664297099,0.51274701130105,0.781221486604923,1.65872940726849,0.485309527200197,0.444668460875525,-0.337112444578741,0.278491886661634,0.229359884617771,0.925769259297333,0.923890397732041,-0.424007384017372,-0.0155493459251688,0.154270201540089,1.23645105183042,0.46370811811136,0.804550221626686,-0.109853496131105,0.462053998091891,2.09278165762613,4.67272621054024,0.264111720921314,-0.016850975616395,0.664463133652197,0.0422937062307602,0.14403670709054,0.925517039084382,0.459685118080587,0.754288535655754,NA,0.0116416249517139,0.575222605446272,-0.0153691880888457,0.249270640293779,-0.336043604929433,1.73430205942917,0.785012970524228,0.599611584912688,0.838698771743418,0.684210866865197,-0.0122867657841246,0.609109334610907,0.438634494294176,0.743093668269972,1.00491162427228,0.415908083895459,0.263615226248053,NA,NA,1.13456991821422,NA,1.3599339629606,-1.11119615544233,0.410979327343738,-0.00514402933261708,1.24947717517105,0.639483980195941,1.58610173674498,NA,0.0467124801583859,2.00389191866741,1.42468296622969,NA,2.66740044364928,0.306019286482125,2.35169960939915,0.691284346842909,1.21955648332079,0
"A101Reporter.intensity.31",-0.243412017602821,-1.43157323647991,1.0463263703355,0.746446159068009,0.376310033247684,0.591438412648241,0.0478953119890262,1.65301970300668,0.660241434684158,-0.102854187660438,0.309978209710967,-0.443609270276018,-0.000808701263237946,-0.911949209059232,0.386302948966747,-1.25154509445907,0.133667392791686,-0.935592999770084,0.0920981627035509,-0.24965977614837,0.927926081581831,1.13664513801403,-0.461095978629115,0.39046847926266,2.21020833280956,3.52916826585717,0.227177439737918,0.933645185128393,0.623027874901084,-0.666358369834774,0.510723653843667,1.20394865329487,2.10944771562341,0.179768743187262,NA,1.50037467503004,0.812338627846948,-0.449454255317256,-2.35827905854615,0.827469748275167,3.03863518374681,0.542308121137021,1.6687723391116,-1.27282605503487,0.327682362015586,0.303777690317146,0.0997667069260691,0.192091993883502,0.933298501424066,1.2919942607316,0.618241595925607,-0.0278683484179809,NA,NA,0.648513822939519,NA,2.77195776019737,0.542558953708544,-0.153152264361238,-0.573703225849813,3.30937398556199,1.98058830239261,1.72591701150662,NA,0.95049513340213,-1.40341134158981,0.384406066374503,NA,1.42055604295996,0.662245360455338,1.53720290805067,-0.804845339140039,0.626159475875704,0
"A101Reporter.intensity.4",0.400180778338568,0.441475229055492,2.33593704253009,0.250270187899904,-0.585284940170861,1.31908123708215,0.821249890959235,0.593823863806714,1.67611543920838,-0.153895388855856,1.02073925420465,-0.477215411758494,0.909776129668664,0.0946949204115042,1.02880343887493,0.113247558969573,0.142168791172775,1.78863697715005,0.61988348658599,0.738603103392396,0.589846371723169,0.206959927850379,1.32616434895243,0.696358610150662,0.596645196268553,2.29199650467517,-0.0137573344038577,0.816543879843543,-0.0505303789327524,0.595112591017364,0.576458361976242,-1.5289323745411,0.87444554658971,1.12378275972254,NA,0.550317563736998,-0.515978912483249,0.653861834294847,1.15143131871797,-0.807235593634072,1.21191983708259,1.28092779158997,0.0206043163950622,0.341628959946748,NA,-0.0953052340525736,1.38085575566298,-0.424726336369735,-0.222644291601049,0.068215145305656,0.187197938568588,0.825861567005309,NA,NA,0.669256755554577,NA,2.27750596059649,-1.63787573771288,0.349531827951749,-0.181374446663449,1.25559127671495,0.239709490967761,1.57377484545341,NA,0.207716089213416,1.03769087872433,0.0831665598860198,NA,1.47498094857111,0.311667823244409,1.80194628482413,0.0319915895286916,0.725719546650605,0
